num_factura,fecha,proveedor,nif_cif,tipo,categoria,importe_base,iva,importe_total,estado_factura,importe_pendiente
FAC-2023-0001,2023-10-13,Distribuciones Lopez,D86379402,Ingreso,Limpiesa,36955.33,7760.62,44715.95,Pendiente,44715.95
FAC-2024-0002,2024-08-23,Marketing Online Bcn,E13164752,Ingreso,Marketing,41555.53,8726.66,50282.19,Pagad,0.0
FAC-2025-0003,2023-04-25,Fontanería Express,F37672423,Gasto,Infraestructura,5764.75,1210.6,6975.35,Pendiente,6975.35
FAC-2023-0004,2023-11-10,Materiales Hernández,E80184514,Gasto,Tecnología,15704.78,3298.0,19002.78,Pagada,0.0
FAC-2024-0005,2025-12-22,Limpieza Industrial Norte,E30391171,Ingreso,Transporte,45965.43,9652.74,55618.17,Vencida,55618.17
FAC-2025-0006,2025-06-16,Transporte Veloz,10310518,Ingreso,Limpieza,45030.9,9456.49,54487.39,Parcialmente Pagada,27243.695
FAC-2023-0007,2025-04-21,Distribuciones López,B33387262,Ingreso,Marketing,23617.72,4959.72,28577.44,Vencida,28577.44
FAC-2024-0008,2025-09-12,Logística Martínez,E68723430,Ingreso,Transporte,11080.49,2326.9,13407.39,Parcialmente Pagada,6703.695
FAC-2025-0009,2025-04-06,Servicios Digitales Ruiz,F43534624,Ingreso,Mantenimiento,6434.39,1351.22,7785.61,Pagada,0.0
FAC-2023-0010,2024-08-06,Materiales Hernández,A84124118,Gasto,Tecnologia,3985.78,837.01,4822.79,Pendiente,4822.79
FAC-2024-0011,2023-11-27,Techparts España,A59826204,Ingreso,Consultoría,37190.93,7810.1,45001.03,Pendiente,45001.03
FAC-2023-0001,2023-11-29,Formación Tech Academy,D42160733,Gasto,Mantenimiento,24406.34,2440.63,26846.97,Pendiente,26846.97
FAC-2023-0013,2023-08-25,Electricidad Pérez,56981693,Gasto,Infraestructura,21932.11,877.28,22809.39,Vencida,22809.39
FAC-2024-0014,2024-08-28,Limpieza Industrial Norte,E68044369,Gasto,Marketing,13882.59,1388.26,15270.85,Vencida,15270.85
FAC-2025-0015,2024-04-05,Limpieza Industrial Norte,76936763,Gasto,Tecnología,20173.74,2017.37,22191.11,Pendiente,22191.11
FAC-2023-0016,2025-07-23,Marketing Online Bcn,H98687277,Ingreso,Infraestructura,7100.29,1491.06,8591.35,Pendiente,8591.35
FAC-2024-0017,2023-11-05,Consultoría Ramos,D66909670,Gasto,Infraestructura,5819.97,582.0,6401.97,Pagada,0.0
FAC-2025-0018,2025-06-11,Mobiliario Oficina Plus,C98069901,Ingreso,Formacion,24539.28,5153.25,29692.53,Pendiente,29692.53
FAC-2023-0019,2023-04-17,Seguridad Total S.L.,D09232719,Gasto,Tecnologia,24997.7,999.91,25997.61,Parcialmente Pagada,12998.805
FAC-2024-0020,2024-02-11,Distribuciones Lopez,F86518506,Ingreso,Limpieza,4261.83,426.18,4688.01,Parcialmente Pagada,2344.005
FAC-2025-0021,2024-03-07,Papelería Central,G50752735,Gasto,Formación,8091.5,809.15,8900.65,Parcialmente Pagada,4450.325
FAC-2023-0022,2023-07-10,Alimentación Costa,G85574443,Gasto,Formacón,7391.18,1552.15,8943.33,Parcialmente Pagada,4471.665
FAC-2024-0023,2024-09-11,Transporte Veloz S.A.,H10947775,Gasto,Alimentación,403.0,84.63,487.63,Vencida,487.63
FAC-2025-0024,2025-05-02,Hosting & Cloud Slu,G49909133,Gasto,Tegnología,15177.63,3187.3,18364.93,Pendiente,18364.93
FAC-2023-0025,2024-02-10,Marketing Online Bcn,E71746488,Ingreso,Alimentación,21544.38,4524.32,26068.7,Vencida,26068.7
FAC-2024-0026,2025-08-21,Hosting & Cloud Slu,17565512,Ingreso,Limpieza,26188.71,5499.63,31688.34,Pagad,0.0
FAC-2025-0027,2023-04-22,Asesoría Fiscal López,E77109324,Ingreso,Infraestructura,9785.34,391.41,10176.75,Parcialmente Pagada,5088.375
FAC-2023-0028,2024-05-14,Asesoría Fiscal López,E65840449,Gasto,Marketing,11446.82,1144.68,12591.5,Parcialmente Pagada,6295.75
FAC-2024-0029,2025-02-23,Fontanería Express,G27028951,Gasto,Consultoría,5877.38,1234.25,7111.63,Pendiente,7111.63
FAC-2025-0030,2025-03-25,Materailes Hernández,A91343161,Ingreso,Formación,32666.91,1306.68,33973.59,Vencida,33973.59
FAC-2023-0031,2024-01-04,Seguridad Total S.L.,D74740748,Ingreso,Alimentación,8914.19,1871.98,10786.17,Parcialmente Pagada,5393.085
FAC-2024-0032,2024-08-28,Alimentacion Costa,A97439533,Gasto,Mantenimiento,24817.67,992.71,25810.38,Vencida,25810.38
FAC-2025-0033,2025-01-17,Techparts España,,Gasto,Formación,18322.38,3847.7,22170.08,Pagada,0.0
FAC-2023-0034,2025-01-24,Fontaneria Express,H09859317,Ingreso,Limpieza,33805.0,1352.2,35157.2,Pagada,0.0
FAC-2024-0035,2023-11-13,Fontanería Express,H73515850,Gasto,Consultoría,22141.07,4649.62,26790.69,Parcialmente Pagada,13395.345
FAC-2025-0036,2024-02-25,Techparts Espana,A42284210,Gasto,Alimentación,1761.82,369.98,2131.8,Pendiente,2131.8
FAC-2023-0037,2023-03-30,Electricidad Pérez,G17711592,Ingreso,Formación,36498.53,7664.69,44163.22,Pendiente,44163.22
FAC-2024-0038,2024-03-16,Mobiliario Oficina Plus,F65452711,Gasto,Tecnología,10780.25,1078.03,11858.28,Pagada,0.0
FAC-2025-0039,2024-08-12,Distribuciones López,F85149368,Gasto,Consultoría,15030.23,601.21,15631.44,Parcialmente Pagada,7815.72
FAC-2024-0001,2024-01-07,Papeleria Central,D66752545,Gasto,Consultoria,21753.07,4568.14,26321.21,Vencida,26321.21
FAC-2024-0041,2025-11-15,Mobiliario Oficina Plus,E03690034,Gasto,Marketing,2889.75,606.85,3496.6,Vencida,3496.6
FAC-2025-0042,2025-06-12,Asesoría Fiscal López,B60529751,Gasto,Tecnología,517.6,108.7,626.3,Parcialm. Pagada,0.0
FAC-2023-0043,2025-11-10,Servicios Digitales Ruiz,C43292127,Ingreso,Infraestructura,10098.23,403.93,10502.16,Pagada,0.0
FAC-2024-0044,2025-08-18,Consultoría Ramos,A54119986,Gasto,Transporte,11083.09,443.32,11526.41,Parcialmente pagada,5763.205
FAC-2025-0001,2025-07-11,Consultoría Ramos,H88925546,Gasto,Infraestructura,2632.37,105.29,2737.66,Pendiente,2737.66
FAC-2023-0046,2024-09-27,Consultoría Ramos,,Ingreso,Mantenimiento,48400.98,10164.21,58565.19,Pendiente,58565.19
FAC-2024-0047,2025-02-10,Asesoría Fiscál López,A65379473,Ingreso,Consultoría,8135.51,813.55,8949.06,Pendiente,8949.06
FAC-2025-0048,2023-10-11,Fontaneria Express,,Gasto,Transporte,21831.4,4584.59,26415.99,Pendiente,26415.99
FAC-2023-0049,2024-10-14,Fontanería Express,C77901043,Ingreso,Consultoría,46575.88,1863.04,48438.92,Pendente,0.0
FAC-2024-0050,2023-02-03,Mobiliario Oficina Plus,C18518888,Gasto,Tecnología,15817.28,3321.63,19138.91,Pagada,0.0
FAC-2025-0051,2023-04-01,Electricidad Pérez,H22170430,Ingreso,Tecnologia,17938.8,717.55,18656.35,Vencida,18656.35
FAC-2023-0052,2023-09-12,Limpieza Industrial Norte,C77584161,Gasto,Material De Oficina,19993.59,4198.65,24192.24,Vencida,24192.24
FAC-2024-0053,2023-03-28,Seguridad Total S.L.,A16582029,Ingreso,Formación,36477.31,1459.09,37936.4,Vencida,37936.4
FAC-2025-0054,2025-06-28,Mobiliario Oficina Plus,A27868144,Ingreso,Formación,38272.68,8037.26,46309.94,Vencida,46309.94
FAC-2023-0055,2024-08-17,Logística Martínez,D13237058,Gasto,Consultoría,22288.73,2228.87,24517.6,Pagada,0.0
FAC-2024-0056,2024-10-11,Seguridad Total S.L.,C26801824,Gasto,Mantenimiento,16076.35,3376.03,19452.38,Pagada,0.0
FAC-2025-0057,2023-12-12,Materiales Hernández,A01094396,Gasto,Mantenimiento,14815.62,3111.28,17926.9,Pagada,0.0
FAC-2023-0058,2025-08-09,Tech Parts España,C58815371,Ingreso,Formación,10599.14,2225.82,12824.96,Parcialmente Pagada,6412.48
FAC-2024-0059,2025-11-20,Consultoria Ramos,F00479748,Gasto,Alimentación,11697.04,467.88,12164.92,Pendiente,12164.92
FAC-2025-0060,2025-03-02,Transporte Veloz,G55852398,Gasto,Infraestrucutra,12631.18,2652.55,15283.73,Vencida,15283.73
FAC-2023-0061,2024-11-19,Servicios Digitales Ruiz,B69409749,Gasto,Mantenimiento,12707.51,2668.58,15376.09,Vencida,15376.09
FAC-2024-0062,2024-10-04,Techparts España,A28385786,Ingreso,Alimentacion,21229.62,4458.22,25687.84,Pagada,0.0
FAC-2025-0063,2024-09-03,Papelería Central,H58441986,Gasto,Alimentación,5660.43,226.42,5886.85,Pendiente,5886.85
FAC-2023-0064,2024-07-09,Papeleria Central,D30165712,Gasto,Alimentación,23328.95,933.16,24262.11,Pendiente,24262.11
